DEA_CODE;DEA_NOM_COMMERCE;ADRESSE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON;INSEE_LIVRAISON;X_GEOCODAGE;Y_GEOCODAGE;TCO_LIBELLE
540357;Tabac Saint-Michel;22   rue saint-André-des-Arts;75006;Paris 6e;75106;600477,050000;2428319,600000;tabac
540358;  Tabac  presse loto;78   rue de Seine;75006;Paris 6e;75106;600038,700000;2428140,850000;tabac presse
540359;Le Bergerac;102   avenue du général Leclerc;92340;Bourg-la-Reine;92014;598438,287189;2420098,497197;café tabac
540360;Le Maryland;108   rue Didot;75014;Paris 14e;75114;598275,031647;2425329,260369;café tabac
540361;La Royale;80   rue de L'Amiral Mouchez;75014;Paris 14e;75114;600474,506904;2424741,205112;café tabac
540362;Presse Lanchas;207   rue d'Alésia;75014;Paris 14e;75114;598359,458000;2425936,897000;presse
540363;Le Royal Ulis;.   avenue des Champs Lasniers;91940;Les Ulis;91692;587727,714871;2409533,350868;tabac
540364;  ;6   R. d'Alger;91300;Massy;91377;596985,700000;2415188,950000;tabac librairie
540365;La Sablière;32   rue de la Sablière;75014;Paris 14e;75114;598947,048740;2425967,077827;café tabac
540366;Cafe Madame;25   rue de Vaugirard;75006;Paris 6e;75106;599645,065000;2427785,213000;tabac loto
540367;Tabac Du Lion;5   avenue du général Leclerc;75014;Paris 14e;75114;599633,185000;2426096,078000;tabac
540368;  ;47   rue Boulard;75014;Paris 14e;75114;599332,963330;2425963,426659;café tabac
540369;Tabac Saint-Germain;64   rue de Seine;75006;Paris 6e;75106;600033,379000;2428322,068003;tabac
540370;La Rotonde Du 14;7   place du 25 Août 1944;75014;Paris 14e;75114;599199,480000;2424846,000000;café tabac
540371;La Civette D'Alésia;220   avenue du Maine;75014;Paris 14e;75114;599255,498507;2425627,942764;tabac
540372;Le Marigny;92   rue Didot;75014;Paris 14e;75114;598465,725000;2425524,043000;tabac
540373;  ;33   place de France;91300;Massy;91377;596466,163155;2414900,509033;tabac presse
540374;Le Longchamps;88   avenue Aristide Briand;91420;Morangis;91432;599156,279700;2411321,328244;café tabac
540376;Tabac Du Dôme;108   boulevard du Montparnasse;75014;Paris 14e;75114;599487,730000;2427063,098000;tabac
540377;Le Brazza;9   rue de Sevres;75006;Paris 6e;75106;599420,654000;2428168,610000;café tabac
540378;Le Commerce;56   avenue du général Leclerc;92340;Bourg-la-Reine;92014;598515,807115;2420390,093190;café tabac
540379;Cafe Dauphine;17   rue Dauphine;75006;Paris 6e;75106;600247,220000;2428560,713000;café tabac
540380;Tabac Porte D'Orlea;134   avenue du général Leclerc;75014;Paris 14e;75114;599201,312649;2425046,941792;café tabac
540381;Le Carvès;130   avenue Aristide Briand;92120;Montrouge;92049;599276,299079;2423611,066433;café tabac
540382;;141   rue Raymond Losserand;75014;Paris 14e;75114;598300,835661;2425897,507249;tabac librairie
540383;Le Fumoir;4   Pl. Paul Vaillant Couturier;92130;Issy-les-Moulineaux;92040;595767,979646;2425394,396453;civette
540384;Tabac Edgar Quinet;36   rue Delambre;75014;Paris 14e;75114;599170,860423;2426995,287480;tabac
